date,store,category,product,quantity,unit_price,revenue,year,month,month_name,day_of_week,calculated_revenue,revenue_mismatch_flag
2023-02-07,Hyderabad,Groceries,B1,8,636,5088,2023,2,Feb,Tuesday,5088,False
2023-05-10,Mumbai,Electronics,B1,9,1202,10818,2023,5,May,Wednesday,10818,False
2023-01-21,Hyderabad,Groceries,C1,1,1703,1703,2023,1,Jan,Saturday,1703,False
2023-06-10,Bangalore,Groceries,B1,9,1296,11664,2023,6,Jun,Saturday,11664,False
2023-02-27,Hyderabad,Electronics,C1,6,1135,6810,2023,2,Feb,Monday,6810,False
2023-01-22,Chennai,Clothing,A1,6,1923,11538,2023,1,Jan,Sunday,11538,False
2023-03-30,Delhi,Clothing,C1,4,227,908,2023,3,Mar,Thursday,908,False
2023-02-18,Hyderabad,Home Decor,A1,1,1731,1731,2023,2,Feb,Saturday,1731,False
2023-02-28,Hyderabad,Electronics,C1,8,191,1528,2023,2,Feb,Tuesday,1528,False
2023-06-19,Delhi,Home Decor,D1,2,1776,3552,2023,6,Jun,Monday,3552,False
2023-01-15,Chennai,Home Decor,D1,1,642,642,2023,1,Jan,Sunday,642,False
2023-06-24,Mumbai,Home Decor,B1,2,945,1890,2023,6,Jun,Saturday,1890,False
2023-02-20,Hyderabad,Clothing,C1,1,1655,1655,2023,2,Feb,Monday,1655,False
2023-04-18,Delhi,Electronics,C1,1,1781,1781,2023,4,Apr,Tuesday,1781,False
2023-02-24,Bangalore,Home Decor,A1,9,1088,9792,2023,2,Feb,Friday,9792,False
2023-03-05,Delhi,Electronics,B1,1,1951,1951,2023,3,Mar,Sunday,1951,False
2023-05-11,Bangalore,Electronics,C1,4,546,2184,2023,5,May,Thursday,2184,False
2023-02-20,Chennai,Clothing,B1,6,489,2934,2023,2,Feb,Monday,2934,False
2023-05-15,Mumbai,Home Decor,D1,7,771,5397,2023,5,May,Monday,5397,False
2023-01-21,Delhi,Home Decor,C1,2,1984,3968,2023,1,Jan,Saturday,3968,False
2023-03-14,Hyderabad,Electronics,C1,6,142,852,2023,3,Mar,Tuesday,852,False
2023-06-16,Chennai,Groceries,B1,7,353,2471,2023,6,Jun,Friday,2471,False
2023-01-18,Delhi,Clothing,C1,2,1253,2506,2023,1,Jan,Wednesday,2506,False
2023-05-12,Hyderabad,Clothing,B1,2,1183,2366,2023,5,May,Friday,2366,False
2023-03-30,Delhi,Clothing,C1,7,762,5334,2023,3,Mar,Thursday,5334,False
2023-03-01,Bangalore,Clothing,A1,1,566,566,2023,3,Mar,Wednesday,566,False
2023-01-14,Delhi,Home Decor,B1,8,386,3088,2023,1,Jan,Saturday,3088,False
2023-01-09,Delhi,Home Decor,C1,3,1110,3330,2023,1,Jan,Monday,3330,False
2023-03-31,Delhi,Groceries,D1,6,1640,9840,2023,3,Mar,Friday,9840,False
2023-02-22,Chennai,Clothing,C1,9,1590,14310,2023,2,Feb,Wednesday,14310,False
2023-05-10,Delhi,Clothing,D1,6,877,5262,2023,5,May,Wednesday,5262,False
2023-03-25,Hyderabad,Electronics,D1,9,444,3996,2023,3,Mar,Saturday,3996,False
2023-04-02,Bangalore,Home Decor,A1,7,741,5187,2023,4,Apr,Sunday,5187,False
2023-04-21,Bangalore,Clothing,B1,9,481,4329,2023,4,Apr,Friday,4329,False
2023-06-21,Delhi,Groceries,C1,2,1902,3804,2023,6,Jun,Wednesday,3804,False
2023-01-08,Chennai,Groceries,A1,8,789,6312,2023,1,Jan,Sunday,6312,False
2023-06-24,Chennai,Home Decor,C1,8,1376,11008,2023,6,Jun,Saturday,11008,False
2023-02-04,Hyderabad,Groceries,D1,2,1179,2358,2023,2,Feb,Saturday,2358,False
2023-03-22,Delhi,Groceries,B1,4,1586,6344,2023,3,Mar,Wednesday,6344,False
2023-06-13,Bangalore,Home Decor,C1,7,556,3892,2023,6,Jun,Tuesday,3892,False
2023-02-19,Chennai,Clothing,C1,4,1082,4328,2023,2,Feb,Sunday,4328,False
2023-04-14,Delhi,Clothing,D1,4,182,728,2023,4,Apr,Friday,728,False
2023-05-12,Chennai,Groceries,C1,6,1222,7332,2023,5,May,Friday,7332,False
2023-01-02,Chennai,Groceries,C1,6,248,1488,2023,1,Jan,Monday,1488,False
2023-05-14,Bangalore,Clothing,D1,3,1452,4356,2023,5,May,Sunday,4356,False
2023-02-23,Mumbai,Home Decor,A1,9,1279,11511,2023,2,Feb,Thursday,11511,False
2023-04-16,Hyderabad,Groceries,D1,2,289,578,2023,4,Apr,Sunday,578,False
2023-01-04,Hyderabad,Electronics,A1,6,1617,9702,2023,1,Jan,Wednesday,9702,False
2023-02-23,Bangalore,Home Decor,B1,7,982,6874,2023,2,Feb,Thursday,6874,False
2023-05-26,Chennai,Groceries,A1,9,362,3258,2023,5,May,Friday,3258,False
2023-02-13,Delhi,Groceries,A1,3,1203,3609,2023,2,Feb,Monday,3609,False
2023-06-11,Chennai,Electronics,B1,3,499,1497,2023,6,Jun,Sunday,1497,False
2023-01-14,Bangalore,Electronics,A1,7,863,6041,2023,1,Jan,Saturday,6041,False
2023-04-05,Hyderabad,Clothing,D1,4,708,2832,2023,4,Apr,Wednesday,2832,False
2023-02-17,Chennai,Home Decor,A1,8,1383,11064,2023,2,Feb,Friday,11064,False
2023-01-15,Hyderabad,Home Decor,B1,7,1895,13265,2023,1,Jan,Sunday,13265,False
2023-02-09,Delhi,Clothing,D1,5,1738,8690,2023,2,Feb,Thursday,8690,False
2023-03-23,Hyderabad,Home Decor,B1,7,1675,11725,2023,3,Mar,Thursday,11725,False
2023-04-21,Hyderabad,Home Decor,B1,3,884,2652,2023,4,Apr,Friday,2652,False
2023-02-22,Mumbai,Home Decor,C1,2,200,400,2023,2,Feb,Wednesday,400,False
2023-01-24,Mumbai,Home Decor,C1,6,1482,8892,2023,1,Jan,Tuesday,8892,False
2023-06-03,Mumbai,Home Decor,B1,2,1503,3006,2023,6,Jun,Saturday,3006,False
2023-05-04,Hyderabad,Electronics,B1,3,919,2757,2023,5,May,Thursday,2757,False
2023-02-10,Bangalore,Home Decor,B1,6,1344,8064,2023,2,Feb,Friday,8064,False
2023-06-06,Hyderabad,Electronics,C1,5,919,4595,2023,6,Jun,Tuesday,4595,False
2023-01-15,Bangalore,Home Decor,C1,8,519,4152,2023,1,Jan,Sunday,4152,False
2023-02-14,Bangalore,Clothing,A1,9,223,2007,2023,2,Feb,Tuesday,2007,False
2023-03-06,Mumbai,Groceries,A1,3,521,1563,2023,3,Mar,Monday,1563,False
2023-03-30,Chennai,Electronics,B1,3,1354,4062,2023,3,Mar,Thursday,4062,False
2023-03-12,Delhi,Home Decor,D1,3,1813,5439,2023,3,Mar,Sunday,5439,False
2023-01-09,Mumbai,Clothing,D1,6,1186,7116,2023,1,Jan,Monday,7116,False
2023-03-29,Mumbai,Groceries,C1,1,1608,1608,2023,3,Mar,Wednesday,1608,False
2023-05-09,Chennai,Electronics,C1,7,1751,12257,2023,5,May,Tuesday,12257,False
2023-05-16,Delhi,Groceries,C1,1,1826,1826,2023,5,May,Tuesday,1826,False
2023-03-04,Hyderabad,Clothing,B1,5,1697,8485,2023,3,Mar,Saturday,8485,False
2023-05-19,Hyderabad,Electronics,D1,8,867,6936,2023,5,May,Friday,6936,False
2023-03-22,Mumbai,Groceries,A1,4,582,2328,2023,3,Mar,Wednesday,2328,False
2023-05-16,Delhi,Home Decor,B1,5,618,3090,2023,5,May,Tuesday,3090,False
2023-06-12,Mumbai,Electronics,A1,4,254,1016,2023,6,Jun,Monday,1016,False
2023-06-12,Bangalore,Groceries,A1,4,191,764,2023,6,Jun,Monday,764,False
2023-02-02,Mumbai,Clothing,B1,8,1081,8648,2023,2,Feb,Thursday,8648,False
2023-05-03,Mumbai,Clothing,A1,2,1649,3298,2023,5,May,Wednesday,3298,False
2023-01-05,Hyderabad,Electronics,D1,1,554,554,2023,1,Jan,Thursday,554,False
2023-02-10,Hyderabad,Groceries,A1,3,1864,5592,2023,2,Feb,Friday,5592,False
2023-01-28,Hyderabad,Electronics,D1,9,697,6273,2023,1,Jan,Saturday,6273,False
2023-05-15,Bangalore,Electronics,D1,4,1768,7072,2023,5,May,Monday,7072,False
2023-03-13,Hyderabad,Groceries,D1,5,609,3045,2023,3,Mar,Monday,3045,False
2023-01-12,Delhi,Groceries,C1,2,1306,2612,2023,1,Jan,Thursday,2612,False
2023-06-11,Chennai,Home Decor,A1,4,485,1940,2023,6,Jun,Sunday,1940,False
2023-02-02,Delhi,Groceries,B1,2,1697,3394,2023,2,Feb,Thursday,3394,False
2023-02-17,Delhi,Clothing,B1,2,1854,3708,2023,2,Feb,Friday,3708,False
2023-05-31,Hyderabad,Electronics,A1,4,504,2016,2023,5,May,Wednesday,2016,False
2023-03-03,Chennai,Electronics,C1,6,345,2070,2023,3,Mar,Friday,2070,False
2023-02-06,Chennai,Clothing,C1,7,841,5887,2023,2,Feb,Monday,5887,False
2023-04-09,Chennai,Groceries,D1,3,1714,5142,2023,4,Apr,Sunday,5142,False
2023-06-21,Bangalore,Clothing,A1,3,760,2280,2023,6,Jun,Wednesday,2280,False
2023-04-14,Hyderabad,Clothing,A1,6,749,4494,2023,4,Apr,Friday,4494,False
2023-02-04,Chennai,Home Decor,B1,3,1594,4782,2023,2,Feb,Saturday,4782,False
2023-04-11,Bangalore,Clothing,A1,2,1949,3898,2023,4,Apr,Tuesday,3898,False
2023-06-24,Mumbai,Electronics,C1,8,1546,12368,2023,6,Jun,Saturday,12368,False
2023-05-11,Mumbai,Clothing,A1,5,1000,5000,2023,5,May,Thursday,5000,False
2023-01-01,Bangalore,Electronics,B1,1,164,164,2023,1,Jan,Sunday,164,False
2023-01-05,Bangalore,Electronics,D1,3,1136,3408,2023,1,Jan,Thursday,3408,False
2023-05-22,Hyderabad,Electronics,B1,8,312,2496,2023,5,May,Monday,2496,False
2023-04-13,Hyderabad,Groceries,B1,4,341,1364,2023,4,Apr,Thursday,1364,False
2023-01-27,Mumbai,Home Decor,D1,7,592,4144,2023,1,Jan,Friday,4144,False
2023-05-17,Chennai,Electronics,B1,2,1336,2672,2023,5,May,Wednesday,2672,False
2023-01-15,Mumbai,Electronics,B1,7,1816,12712,2023,1,Jan,Sunday,12712,False
2023-03-31,Chennai,Groceries,A1,5,437,2185,2023,3,Mar,Friday,2185,False
2023-02-11,Chennai,Electronics,A1,5,272,1360,2023,2,Feb,Saturday,1360,False
2023-05-04,Hyderabad,Clothing,D1,6,771,4626,2023,5,May,Thursday,4626,False
2023-06-28,Delhi,Clothing,A1,9,263,2367,2023,6,Jun,Wednesday,2367,False
2023-03-04,Delhi,Home Decor,A1,6,564,3384,2023,3,Mar,Saturday,3384,False
2023-04-06,Bangalore,Electronics,B1,8,1094,8752,2023,4,Apr,Thursday,8752,False
2023-02-21,Hyderabad,Groceries,C1,7,596,4172,2023,2,Feb,Tuesday,4172,False
2023-04-06,Chennai,Clothing,A1,9,799,7191,2023,4,Apr,Thursday,7191,False
2023-05-12,Delhi,Groceries,C1,4,494,1976,2023,5,May,Friday,1976,False
2023-05-31,Chennai,Groceries,A1,2,802,1604,2023,5,May,Wednesday,1604,False
2023-05-23,Delhi,Clothing,A1,7,407,2849,2023,5,May,Tuesday,2849,False
2023-06-20,Delhi,Groceries,D1,6,1891,11346,2023,6,Jun,Tuesday,11346,False
2023-01-29,Delhi,Clothing,D1,1,282,282,2023,1,Jan,Sunday,282,False
2023-02-05,Hyderabad,Groceries,D1,9,728,6552,2023,2,Feb,Sunday,6552,False
2023-01-13,Mumbai,Clothing,C1,9,1917,17253,2023,1,Jan,Friday,17253,False
2023-06-09,Chennai,Electronics,B1,2,609,1218,2023,6,Jun,Friday,1218,False
2023-03-12,Hyderabad,Home Decor,A1,3,1831,5493,2023,3,Mar,Sunday,5493,False
2023-03-27,Hyderabad,Clothing,A1,5,645,3225,2023,3,Mar,Monday,3225,False
2023-01-28,Hyderabad,Clothing,A1,5,1687,8435,2023,1,Jan,Saturday,8435,False
2023-03-07,Hyderabad,Home Decor,C1,1,723,723,2023,3,Mar,Tuesday,723,False
2023-06-19,Hyderabad,Clothing,D1,8,1887,15096,2023,6,Jun,Monday,15096,False
2023-02-14,Bangalore,Clothing,B1,8,693,5544,2023,2,Feb,Tuesday,5544,False
2023-03-03,Chennai,Groceries,C1,4,843,3372,2023,3,Mar,Friday,3372,False
2023-05-14,Hyderabad,Home Decor,D1,7,1350,9450,2023,5,May,Sunday,9450,False
2023-01-28,Chennai,Electronics,C1,3,1868,5604,2023,1,Jan,Saturday,5604,False
2023-01-28,Bangalore,Clothing,B1,6,1856,11136,2023,1,Jan,Saturday,11136,False
2023-04-18,Bangalore,Home Decor,D1,9,1559,14031,2023,4,Apr,Tuesday,14031,False
2023-02-13,Chennai,Groceries,C1,1,1545,1545,2023,2,Feb,Monday,1545,False
2023-03-25,Delhi,Electronics,B1,5,653,3265,2023,3,Mar,Saturday,3265,False
2023-01-30,Mumbai,Home Decor,A1,4,120,480,2023,1,Jan,Monday,480,False
2023-03-16,Delhi,Electronics,B1,8,653,5224,2023,3,Mar,Thursday,5224,False
2023-05-08,Delhi,Electronics,A1,1,496,496,2023,5,May,Monday,496,False
2023-04-02,Delhi,Electronics,C1,9,724,6516,2023,4,Apr,Sunday,6516,False
2023-05-09,Hyderabad,Clothing,D1,6,204,1224,2023,5,May,Tuesday,1224,False
2023-05-01,Bangalore,Clothing,D1,4,291,1164,2023,5,May,Monday,1164,False
2023-01-27,Delhi,Groceries,C1,9,116,1044,2023,1,Jan,Friday,1044,False
2023-05-01,Bangalore,Groceries,D1,5,1243,6215,2023,5,May,Monday,6215,False
2023-04-26,Chennai,Home Decor,D1,5,492,2460,2023,4,Apr,Wednesday,2460,False
2023-01-03,Mumbai,Groceries,A1,5,524,2620,2023,1,Jan,Tuesday,2620,False
2023-04-13,Chennai,Electronics,C1,1,228,228,2023,4,Apr,Thursday,228,False
2023-06-04,Chennai,Electronics,B1,1,1253,1253,2023,6,Jun,Sunday,1253,False
2023-05-17,Hyderabad,Clothing,A1,8,671,5368,2023,5,May,Wednesday,5368,False
2023-03-03,Mumbai,Electronics,C1,8,1683,13464,2023,3,Mar,Friday,13464,False
2023-06-14,Chennai,Home Decor,A1,6,128,768,2023,6,Jun,Wednesday,768,False
2023-02-20,Chennai,Electronics,B1,4,1220,4880,2023,2,Feb,Monday,4880,False
2023-06-21,Mumbai,Electronics,B1,2,1133,2266,2023,6,Jun,Wednesday,2266,False
2023-06-01,Mumbai,Home Decor,C1,2,341,682,2023,6,Jun,Thursday,682,False
2023-02-28,Chennai,Groceries,B1,9,1949,17541,2023,2,Feb,Tuesday,17541,False
2023-04-28,Mumbai,Groceries,A1,5,331,1655,2023,4,Apr,Friday,1655,False
2023-06-09,Chennai,Home Decor,B1,4,888,3552,2023,6,Jun,Friday,3552,False
2023-04-06,Chennai,Clothing,A1,1,1407,1407,2023,4,Apr,Thursday,1407,False
2023-06-29,Hyderabad,Electronics,A1,7,814,5698,2023,6,Jun,Thursday,5698,False
2023-04-23,Delhi,Home Decor,B1,3,858,2574,2023,4,Apr,Sunday,2574,False
2023-03-03,Chennai,Electronics,C1,6,901,5406,2023,3,Mar,Friday,5406,False
2023-02-21,Bangalore,Clothing,D1,5,875,4375,2023,2,Feb,Tuesday,4375,False
2023-01-12,Delhi,Electronics,B1,5,825,4125,2023,1,Jan,Thursday,4125,False
2023-02-08,Delhi,Home Decor,A1,5,299,1495,2023,2,Feb,Wednesday,1495,False
2023-05-10,Delhi,Electronics,A1,1,1044,1044,2023,5,May,Wednesday,1044,False
2023-05-11,Hyderabad,Groceries,B1,1,178,178,2023,5,May,Thursday,178,False
2023-04-23,Chennai,Clothing,C1,3,1055,3165,2023,4,Apr,Sunday,3165,False
2023-04-11,Hyderabad,Clothing,C1,4,1978,7912,2023,4,Apr,Tuesday,7912,False
2023-04-23,Chennai,Clothing,A1,5,955,4775,2023,4,Apr,Sunday,4775,False
2023-03-22,Hyderabad,Home Decor,A1,2,1296,2592,2023,3,Mar,Wednesday,2592,False
2023-04-23,Hyderabad,Clothing,C1,8,566,4528,2023,4,Apr,Sunday,4528,False
2023-01-02,Bangalore,Groceries,D1,2,680,1360,2023,1,Jan,Monday,1360,False
2023-05-10,Hyderabad,Home Decor,B1,9,1539,13851,2023,5,May,Wednesday,13851,False
2023-02-23,Mumbai,Groceries,A1,2,1039,2078,2023,2,Feb,Thursday,2078,False
2023-03-28,Bangalore,Electronics,A1,9,548,4932,2023,3,Mar,Tuesday,4932,False
2023-05-09,Hyderabad,Electronics,C1,7,186,1302,2023,5,May,Tuesday,1302,False
2023-05-27,Delhi,Electronics,B1,8,200,1600,2023,5,May,Saturday,1600,False
2023-05-06,Mumbai,Electronics,C1,2,1131,2262,2023,5,May,Saturday,2262,False
2023-05-10,Mumbai,Groceries,B1,7,944,6608,2023,5,May,Wednesday,6608,False
2023-02-22,Mumbai,Home Decor,B1,6,1323,7938,2023,2,Feb,Wednesday,7938,False
2023-06-21,Bangalore,Home Decor,B1,4,1628,6512,2023,6,Jun,Wednesday,6512,False
2023-06-09,Hyderabad,Clothing,A1,7,186,1302,2023,6,Jun,Friday,1302,False
2023-06-09,Hyderabad,Groceries,D1,4,142,568,2023,6,Jun,Friday,568,False
2023-03-09,Delhi,Electronics,C1,2,1508,3016,2023,3,Mar,Thursday,3016,False
2023-05-03,Delhi,Groceries,D1,7,1744,12208,2023,5,May,Wednesday,12208,False
2023-05-25,Mumbai,Clothing,C1,8,1558,12464,2023,5,May,Thursday,12464,False
2023-02-07,Delhi,Clothing,B1,2,507,1014,2023,2,Feb,Tuesday,1014,False
2023-01-24,Bangalore,Groceries,A1,5,1606,8030,2023,1,Jan,Tuesday,8030,False
2023-03-10,Hyderabad,Groceries,D1,1,763,763,2023,3,Mar,Friday,763,False
2023-04-26,Mumbai,Groceries,A1,7,1140,7980,2023,4,Apr,Wednesday,7980,False
2023-04-08,Delhi,Home Decor,C1,8,1768,14144,2023,4,Apr,Saturday,14144,False
2023-05-19,Bangalore,Electronics,A1,6,247,1482,2023,5,May,Friday,1482,False
2023-05-24,Bangalore,Groceries,A1,5,376,1880,2023,5,May,Wednesday,1880,False
2023-04-07,Delhi,Groceries,D1,6,331,1986,2023,4,Apr,Friday,1986,False
2023-05-04,Hyderabad,Groceries,B1,2,1949,3898,2023,5,May,Thursday,3898,False
2023-03-11,Delhi,Clothing,A1,1,465,465,2023,3,Mar,Saturday,465,False
2023-04-03,Mumbai,Clothing,B1,7,1351,9457,2023,4,Apr,Monday,9457,False
2023-01-03,Delhi,Home Decor,C1,7,1774,12418,2023,1,Jan,Tuesday,12418,False
2023-05-28,Bangalore,Electronics,A1,2,535,1070,2023,5,May,Sunday,1070,False
2023-06-13,Delhi,Home Decor,D1,2,498,996,2023,6,Jun,Tuesday,996,False
2023-05-27,Hyderabad,Electronics,C1,1,1334,1334,2023,5,May,Saturday,1334,False
2023-03-31,Chennai,Clothing,C1,8,1514,12112,2023,3,Mar,Friday,12112,False
2023-05-27,Delhi,Clothing,D1,8,598,4784,2023,5,May,Saturday,4784,False
2023-05-28,Hyderabad,Clothing,A1,1,639,639,2023,5,May,Sunday,639,False
2023-04-06,Hyderabad,Home Decor,A1,8,662,5296,2023,4,Apr,Thursday,5296,False
2023-02-21,Bangalore,Groceries,C1,9,1614,14526,2023,2,Feb,Tuesday,14526,False
2023-06-10,Hyderabad,Groceries,A1,4,541,2164,2023,6,Jun,Saturday,2164,False
2023-06-17,Hyderabad,Clothing,B1,1,1384,1384,2023,6,Jun,Saturday,1384,False
2023-05-08,Hyderabad,Groceries,D1,1,872,872,2023,5,May,Monday,872,False
2023-02-08,Hyderabad,Groceries,B1,3,449,1347,2023,2,Feb,Wednesday,1347,False
2023-03-23,Mumbai,Home Decor,A1,5,1475,7375,2023,3,Mar,Thursday,7375,False
2023-04-14,Mumbai,Electronics,C1,5,619,3095,2023,4,Apr,Friday,3095,False
2023-05-09,Bangalore,Clothing,D1,9,1443,12987,2023,5,May,Tuesday,12987,False
2023-01-11,Delhi,Clothing,A1,2,237,474,2023,1,Jan,Wednesday,474,False
2023-06-27,Hyderabad,Home Decor,A1,2,1673,3346,2023,6,Jun,Tuesday,3346,False
2023-05-31,Delhi,Home Decor,C1,6,1746,10476,2023,5,May,Wednesday,10476,False
2023-06-08,Delhi,Groceries,C1,9,1091,9819,2023,6,Jun,Thursday,9819,False
2023-02-11,Bangalore,Clothing,B1,1,467,467,2023,2,Feb,Saturday,467,False
2023-04-09,Hyderabad,Electronics,D1,9,1343,12087,2023,4,Apr,Sunday,12087,False
2023-01-07,Hyderabad,Home Decor,D1,9,1460,13140,2023,1,Jan,Saturday,13140,False
2023-05-24,Chennai,Electronics,C1,9,1346,12114,2023,5,May,Wednesday,12114,False
2023-03-31,Delhi,Electronics,B1,5,1771,8855,2023,3,Mar,Friday,8855,False
2023-04-22,Delhi,Clothing,D1,9,1891,17019,2023,4,Apr,Saturday,17019,False
2023-03-01,Mumbai,Clothing,C1,4,459,1836,2023,3,Mar,Wednesday,1836,False
2023-04-23,Chennai,Home Decor,A1,2,1020,2040,2023,4,Apr,Sunday,2040,False
2023-01-02,Mumbai,Clothing,D1,6,428,2568,2023,1,Jan,Monday,2568,False
2023-05-09,Mumbai,Clothing,B1,4,1061,4244,2023,5,May,Tuesday,4244,False
2023-02-17,Mumbai,Clothing,B1,6,562,3372,2023,2,Feb,Friday,3372,False
2023-05-20,Bangalore,Electronics,B1,3,1045,3135,2023,5,May,Saturday,3135,False
2023-02-06,Bangalore,Home Decor,A1,6,1062,6372,2023,2,Feb,Monday,6372,False
2023-06-09,Mumbai,Groceries,D1,2,1684,3368,2023,6,Jun,Friday,3368,False
2023-01-09,Chennai,Electronics,D1,2,1927,3854,2023,1,Jan,Monday,3854,False
2023-04-09,Delhi,Clothing,A1,9,1505,13545,2023,4,Apr,Sunday,13545,False
2023-05-27,Chennai,Electronics,D1,7,935,6545,2023,5,May,Saturday,6545,False
2023-02-17,Hyderabad,Clothing,A1,3,1713,5139,2023,2,Feb,Friday,5139,False
2023-05-11,Bangalore,Clothing,A1,1,1740,1740,2023,5,May,Thursday,1740,False
2023-05-28,Delhi,Electronics,A1,8,268,2144,2023,5,May,Sunday,2144,False
2023-06-01,Delhi,Home Decor,B1,6,316,1896,2023,6,Jun,Thursday,1896,False
2023-02-23,Hyderabad,Clothing,D1,7,477,3339,2023,2,Feb,Thursday,3339,False
2023-04-30,Hyderabad,Home Decor,A1,9,218,1962,2023,4,Apr,Sunday,1962,False
2023-06-10,Mumbai,Groceries,D1,5,289,1445,2023,6,Jun,Saturday,1445,False
2023-06-01,Bangalore,Clothing,B1,1,866,866,2023,6,Jun,Thursday,866,False
2023-04-26,Bangalore,Home Decor,A1,7,469,3283,2023,4,Apr,Wednesday,3283,False
2023-03-16,Chennai,Home Decor,C1,5,1901,9505,2023,3,Mar,Thursday,9505,False
2023-04-23,Mumbai,Groceries,B1,3,248,744,2023,4,Apr,Sunday,744,False
2023-06-13,Mumbai,Home Decor,C1,9,1799,16191,2023,6,Jun,Tuesday,16191,False
2023-06-15,Mumbai,Home Decor,D1,1,751,751,2023,6,Jun,Thursday,751,False
2023-04-14,Mumbai,Groceries,D1,1,1982,1982,2023,4,Apr,Friday,1982,False
2023-03-25,Bangalore,Clothing,B1,1,1611,1611,2023,3,Mar,Saturday,1611,False
2023-04-22,Bangalore,Home Decor,D1,3,869,2607,2023,4,Apr,Saturday,2607,False
2023-04-09,Mumbai,Home Decor,C1,6,473,2838,2023,4,Apr,Sunday,2838,False
2023-06-02,Chennai,Home Decor,A1,3,880,2640,2023,6,Jun,Friday,2640,False
2023-04-03,Delhi,Electronics,A1,8,1816,14528,2023,4,Apr,Monday,14528,False
2023-05-26,Delhi,Groceries,A1,2,259,518,2023,5,May,Friday,518,False
2023-05-08,Chennai,Electronics,B1,9,450,4050,2023,5,May,Monday,4050,False
2023-04-20,Mumbai,Groceries,D1,3,1411,4233,2023,4,Apr,Thursday,4233,False
2023-03-23,Bangalore,Clothing,C1,5,1411,7055,2023,3,Mar,Thursday,7055,False
2023-02-23,Delhi,Clothing,D1,8,991,7928,2023,2,Feb,Thursday,7928,False
2023-06-12,Hyderabad,Home Decor,D1,2,1349,2698,2023,6,Jun,Monday,2698,False
2023-06-18,Hyderabad,Groceries,D1,6,622,3732,2023,6,Jun,Sunday,3732,False
2023-06-10,Chennai,Clothing,A1,5,621,3105,2023,6,Jun,Saturday,3105,False
2023-03-09,Mumbai,Groceries,C1,9,882,7938,2023,3,Mar,Thursday,7938,False
2023-02-02,Delhi,Clothing,C1,5,372,1860,2023,2,Feb,Thursday,1860,False
2023-05-22,Mumbai,Electronics,D1,2,1035,2070,2023,5,May,Monday,2070,False
2023-01-21,Delhi,Clothing,A1,5,1525,7625,2023,1,Jan,Saturday,7625,False
2023-02-17,Chennai,Electronics,A1,4,282,1128,2023,2,Feb,Friday,1128,False
2023-05-28,Chennai,Clothing,C1,7,1788,12516,2023,5,May,Sunday,12516,False
2023-05-08,Hyderabad,Home Decor,A1,6,587,3522,2023,5,May,Monday,3522,False
2023-05-16,Mumbai,Electronics,A1,2,1950,3900,2023,5,May,Tuesday,3900,False
2023-05-15,Hyderabad,Clothing,A1,5,945,4725,2023,5,May,Monday,4725,False
2023-05-25,Mumbai,Home Decor,B1,7,223,1561,2023,5,May,Thursday,1561,False
2023-05-08,Hyderabad,Electronics,D1,7,1084,7588,2023,5,May,Monday,7588,False
2023-02-02,Bangalore,Home Decor,C1,5,1749,8745,2023,2,Feb,Thursday,8745,False
2023-06-25,Bangalore,Groceries,C1,9,889,8001,2023,6,Jun,Sunday,8001,False
